"product_id","date_id","quantity","sale_peso","cost_peso"
"NFRONTANDES","20070714",2,370,209
"BMEDABRIGO","20070714",0,26,6.77
"NALIVPANTPOLAR","20070714",0,65,24
"NMAKTERMPANT","20070714",0,55,31.2
"NMAKCAMISINT","20070714",0,55,31.2
"NLIBOFORCE","20070714",0,140,77.88
"BMED1piel","20070714",0,18,4.6
"NMAKKHUMBU","20070714",0,225,126
"NALIVCUBREREF","20070714",1,65,23
"NMAKCAMISINT","20070714",0,55,31.2
"NMAKCLASSIC","20070714",0,450,252
"NMAKFRONTVEST","20070714",0,310,176
"NMAKARTIC","20070714",1,370,212
"NMAKCAMISINT","20070714",0,55,31.2
"NBUFF","20070714",1,60,40
"NMSRWHISP","20070714",1,411,293
"NMSRBOT1000","20070714",1,85,60
"NOUTGUANTW","20070714",0,75,42.5
"NMAKTERMPANT","20070714",0,55,31.2
"NALIVBUZO","20070714",0,70,25
"NMAKCAMISINT","20070714",0,55,31.2
"NUNDERANTEO","20070714",1,155,75
"NMAKCAMISINT","20070716",0,55,31.2
"NMAKPANTDESMH","20070716",0,140,76
"BMEDABRIGO","20070716",0,26,6.77
"NFRONTANDES","20070716",1,370,209
"BMED1piel","20070716",0,18,4.6
"NEURAUST","20070716",1,55,30
"BMAKCAMISINTLADY","20070716",0,55,37.75
"NALIVBUZO","20070716",0,70,25
"NMAKCAMISINT","20070716",0,55,31.2
"NALIVPANTPOLAR","20070716",0,65,24
"NEXPEDLADY","20070716",0,435,248
"NMAKGORRAWIN","20070717",0,55,30
"BORIX","20070717",1,185,127.7
"NMAKEXPEDJKT","20070717",0,500,284
"NMAKCAMISINT","20070717",0,55,31.2
"BMEDABRIGO","20070717",0,26,6.77
"NOUTGUANTW","20070717",0,75,42.5
"BMAKCAMISINTLADY","20070718",0,55,37.75
"BMAKCAMISINTLADY","20070718",0,55,37.75
"BFIG8","20070718",2,65,45.34
"NGUILLUMET","20070718",1,285,162
"BMEDABRIGO","20070718",0,26,6.77
"BMAKTOLJKT","20070718",0,610,423
"BALIBOT","20070718",1,30,17
"NMAKPAMIR70","20070718",1,520,292
"NALIVMOCH40","20070719",2,200,100
"NMAKTOLOSA","20070719",0,610,350
"BMEDZOQ","20070719",0,9,3
"NORIX","20070719",1,180,105
"NLIBOCLIMB","20070719",0,114,55
"NALIVBOLSILLO","20070719",1,25,11
"NALIVPANTPOLAR","20070719",0,65,24
"NMAKTERMPANT","20070719",0,55,31.2
"NMAKPANTDRY","20070719",0,350,198
"BMEDABRIGO","20070719",0,26,6.77
"NFRONTANDES","20070719",1,370,209
"BMED1piel","20070719",0,18,4.6
"NBUFF","20070720",1,55,40
"NMAKNEPAL","20070720",0,1170,668
"BGUILLUMET","20070720",1,285,197.65
"BMEDABRIGO","20070720",0,26,6.77
"NALIVPANTPOLLADY","20070720",0,65,24
"BBR455","20070720",2,8,4.8
"BMAKCAMISINTLADY","20070720",0,55,37.75
"NCEBESPOT4","20070720",0,360,210
"NALIVPANTPOLLADY","20070720",0,65,24
"NMAKCHALLADYPOL","20070720",0,75,42.4
"NMAKWINDCAMLADY","20070720",0,300,169.6
"NALIVERBOLPO","20070720",1,75,42
"NGUILLUMET","20070720",1,285,162
"NNALGENEBOTHID","20070720",1,42,30
"NALIVCUBMIT","20070720",1,100,39
"NMAKPANTDESLADY","20070720",0,130,71
"BMED1piel","20070720",0,18,4.6
"NMAKTERMPANT","20070720",0,55,31.2
"NALIVBUZO","20070721",0,65,25
"NLIBOFORCE","20070725",0,140,77.88
"NMAKCAMISINTLADY","20070725",0,55,31.2
"BMEDABRIGO","20070725",0,26,6.77
"NLIBOCAMPENDUR","20070725",0,640,373
"BMED1piel","20071117",0,20,4.6
"NALIVCHAL","20071119",0,80,29
"BMED1piel","20071119",0,20,4.6
