"date_id","year","quarter","month","month_name","day_in_month","day_name"
"20090101",2009,1,1,"Ene 2009",1,"Ma"
"20090102",2009,1,1,"Ene 2009",2,"Mi"
"20090103",2009,1,1,"Ene 2009",3,"Ju"
"20090104",2009,1,1,"Ene 2009",4,"Vi"
"20090105",2009,1,1,"Ene 2009",5,"Sa"
"20090106",2009,1,1,"Ene 2009",6,"Do"
"20090107",2009,1,1,"Ene 2009",7,"Lu"
"20090108",2009,1,1,"Ene 2009",8,"Ma"
"20090109",2009,1,1,"Ene 2009",9,"Mi"
"20090110",2009,1,1,"Ene 2009",10,"Ju"
"20090111",2009,1,1,"Ene 2009",11,"Vi"
"20090112",2009,1,1,"Ene 2009",12,"Sa"
"20090113",2009,1,1,"Ene 2009",13,"Do"
"20090114",2009,1,1,"Ene 2009",14,"Lu"
"20090115",2009,1,1,"Ene 2009",15,"Ma"
"20090116",2009,1,1,"Ene 2009",16,"Mi"
"20090117",2009,1,1,"Ene 2009",17,"Ju"
"20090118",2009,1,1,"Ene 2009",18,"Vi"
"20090119",2009,1,1,"Ene 2009",19,"Sa"
"20090120",2009,1,1,"Ene 2009",20,"Do"
"20090121",2009,1,1,"Ene 2009",21,"Lu"
"20090122",2009,1,1,"Ene 2009",22,"Ma"
"20090123",2009,1,1,"Ene 2009",23,"Mi"
"20090124",2009,1,1,"Ene 2009",24,"Ju"
"20090125",2009,1,1,"Ene 2009",25,"Vi"
"20090126",2009,1,1,"Ene 2009",26,"Sa"
"20090127",2009,1,1,"Ene 2009",27,"Do"
"20090128",2009,1,1,"Ene 2009",28,"Lu"
"20090129",2009,1,1,"Ene 2009",29,"Ma"
"20090130",2009,1,1,"Ene 2009",30,"Mi"
"20090131",2009,1,1,"Ene 2009",31,"Ju"
"20090201",2009,1,2,"Feb 2009",1,"Vi"
"20090202",2009,1,2,"Feb 2009",2,"Sa"
"20090203",2009,1,2,"Feb 2009",3,"Do"
"20090204",2009,1,2,"Feb 2009",4,"Lu"
"20090205",2009,1,2,"Feb 2009",5,"Ma"
"20090206",2009,1,2,"Feb 2009",6,"Mi"
"20090207",2009,1,2,"Feb 2009",7,"Ju"
"20090208",2009,1,2,"Feb 2009",8,"Vi"
"20090209",2009,1,2,"Feb 2009",9,"Sa"
"20090210",2009,1,2,"Feb 2009",10,"Do"
"20090211",2009,1,2,"Feb 2009",11,"Lu"
"20090212",2009,1,2,"Feb 2009",12,"Ma"
"20090213",2009,1,2,"Feb 2009",13,"Mi"
"20090214",2009,1,2,"Feb 2009",14,"Ju"
"20090215",2009,1,2,"Feb 2009",15,"Vi"
"20090216",2009,1,2,"Feb 2009",16,"Sa"
"20090217",2009,1,2,"Feb 2009",17,"Do"
"20090218",2009,1,2,"Feb 2009",18,"Lu"
"20090219",2009,1,2,"Feb 2009",19,"Ma"
"20090220",2009,1,2,"Feb 2009",20,"Mi"
"20090221",2009,1,2,"Feb 2009",21,"Ju"
"20090222",2009,1,2,"Feb 2009",22,"Vi"
"20090223",2009,1,2,"Feb 2009",23,"Sa"
"20090224",2009,1,2,"Feb 2009",24,"Do"
"20090225",2009,1,2,"Feb 2009",25,"Lu"
"20090226",2009,1,2,"Feb 2009",26,"Ma"
"20090227",2009,1,2,"Feb 2009",27,"Mi"
"20090228",2009,1,2,"Feb 2009",28,"Ju"
"20090229",2009,1,2,"Feb 2009",29,"Vi"
"20090301",2009,1,3,"Mar 2009",1,"Sa"
"20090302",2009,1,3,"Mar 2009",2,"Do"
"20090303",2009,1,3,"Mar 2009",3,"Lu"
"20090304",2009,1,3,"Mar 2009",4,"Ma"
"20090305",2009,1,3,"Mar 2009",5,"Mi"
"20090306",2009,1,3,"Mar 2009",6,"Ju"
"20090307",2009,1,3,"Mar 2009",7,"Vi"
"20090308",2009,1,3,"Mar 2009",8,"Sa"
"20090309",2009,1,3,"Mar 2009",9,"Do"
"20090310",2009,1,3,"Mar 2009",10,"Lu"
"20090311",2009,1,3,"Mar 2009",11,"Ma"
"20090312",2009,1,3,"Mar 2009",12,"Mi"
"20090313",2009,1,3,"Mar 2009",13,"Ju"
"20090314",2009,1,3,"Mar 2009",14,"Vi"
"20090315",2009,1,3,"Mar 2009",15,"Sa"
"20090316",2009,1,3,"Mar 2009",16,"Do"
"20090317",2009,1,3,"Mar 2009",17,"Lu"
"20090318",2009,1,3,"Mar 2009",18,"Ma"
"20090319",2009,1,3,"Mar 2009",19,"Mi"
"20090320",2009,1,3,"Mar 2009",20,"Ju"
"20090321",2009,1,3,"Mar 2009",21,"Vi"
"20090322",2009,1,3,"Mar 2009",22,"Sa"
"20090323",2009,1,3,"Mar 2009",23,"Do"
"20090324",2009,1,3,"Mar 2009",24,"Lu"
"20090325",2009,1,3,"Mar 2009",25,"Ma"
"20090326",2009,1,3,"Mar 2009",26,"Mi"
"20090327",2009,1,3,"Mar 2009",27,"Ju"
"20090328",2009,1,3,"Mar 2009",28,"Vi"
"20090329",2009,1,3,"Mar 2009",29,"Sa"
"20090330",2009,1,3,"Mar 2009",30,"Do"
"20090331",2009,1,3,"Mar 2009",31,"Lu"
"20090401",2009,2,4,"Abr 2009",1,"Ma"
"20090402",2009,2,4,"Abr 2009",2,"Mi"
"20090403",2009,2,4,"Abr 2009",3,"Ju"
"20090404",2009,2,4,"Abr 2009",4,"Vi"
"20090405",2009,2,4,"Abr 2009",5,"Sa"
"20090406",2009,2,4,"Abr 2009",6,"Do"
"20090407",2009,2,4,"Abr 2009",7,"Lu"
"20090408",2009,2,4,"Abr 2009",8,"Ma"
"20090409",2009,2,4,"Abr 2009",9,"Mi"
"20090410",2009,2,4,"Abr 2009",10,"Ju"
"20090411",2009,2,4,"Abr 2009",11,"Vi"
"20090412",2009,2,4,"Abr 2009",12,"Sa"
"20090413",2009,2,4,"Abr 2009",13,"Do"
"20090414",2009,2,4,"Abr 2009",14,"Lu"
"20090415",2009,2,4,"Abr 2009",15,"Ma"
"20090416",2009,2,4,"Abr 2009",16,"Mi"
"20090417",2009,2,4,"Abr 2009",17,"Ju"
"20090418",2009,2,4,"Abr 2009",18,"Vi"
"20090419",2009,2,4,"Abr 2009",19,"Sa"
"20090420",2009,2,4,"Abr 2009",20,"Do"
"20090421",2009,2,4,"Abr 2009",21,"Lu"
"20090422",2009,2,4,"Abr 2009",22,"Ma"
"20090423",2009,2,4,"Abr 2009",23,"Mi"
"20090424",2009,2,4,"Abr 2009",24,"Ju"
"20090425",2009,2,4,"Abr 2009",25,"Vi"
"20090426",2009,2,4,"Abr 2009",26,"Sa"
"20090427",2009,2,4,"Abr 2009",27,"Do"
"20090428",2009,2,4,"Abr 2009",28,"Lu"
"20090429",2009,2,4,"Abr 2009",29,"Ma"
"20090430",2009,2,4,"Abr 2009",30,"Mi"
"20090501",2009,2,5,"May 2009",1,"Ju"
"20090502",2009,2,5,"May 2009",2,"Vi"
"20090503",2009,2,5,"May 2009",3,"Sa"
"20090504",2009,2,5,"May 2009",4,"Do"
"20090505",2009,2,5,"May 2009",5,"Lu"
"20090506",2009,2,5,"May 2009",6,"Ma"
"20090507",2009,2,5,"May 2009",7,"Mi"
"20090508",2009,2,5,"May 2009",8,"Ju"
"20090509",2009,2,5,"May 2009",9,"Vi"
"20090510",2009,2,5,"May 2009",10,"Sa"
"20090511",2009,2,5,"May 2009",11,"Do"
"20090512",2009,2,5,"May 2009",12,"Lu"
"20090513",2009,2,5,"May 2009",13,"Ma"
"20090514",2009,2,5,"May 2009",14,"Mi"
"20090515",2009,2,5,"May 2009",15,"Ju"
"20090516",2009,2,5,"May 2009",16,"Vi"
"20090517",2009,2,5,"May 2009",17,"Sa"
"20090518",2009,2,5,"May 2009",18,"Do"
"20090519",2009,2,5,"May 2009",19,"Lu"
"20090520",2009,2,5,"May 2009",20,"Ma"
"20090521",2009,2,5,"May 2009",21,"Mi"
"20090522",2009,2,5,"May 2009",22,"Ju"
"20090523",2009,2,5,"May 2009",23,"Vi"
"20090524",2009,2,5,"May 2009",24,"Sa"
"20090525",2009,2,5,"May 2009",25,"Do"
"20090526",2009,2,5,"May 2009",26,"Lu"
"20090527",2009,2,5,"May 2009",27,"Ma"
"20090528",2009,2,5,"May 2009",28,"Mi"
"20090529",2009,2,5,"May 2009",29,"Ju"
"20090530",2009,2,5,"May 2009",30,"Vi"
"20090531",2009,2,5,"May 2009",31,"Sa"
"20090601",2009,2,6,"Jun 2009",1,"Do"
"20090602",2009,2,6,"Jun 2009",2,"Lu"
"20090603",2009,2,6,"Jun 2009",3,"Ma"
"20090604",2009,2,6,"Jun 2009",4,"Mi"
"20090605",2009,2,6,"Jun 2009",5,"Ju"
"20090606",2009,2,6,"Jun 2009",6,"Vi"
"20090607",2009,2,6,"Jun 2009",7,"Sa"
"20090608",2009,2,6,"Jun 2009",8,"Do"
"20090609",2009,2,6,"Jun 2009",9,"Lu"
"20090610",2009,2,6,"Jun 2009",10,"Ma"
"20090611",2009,2,6,"Jun 2009",11,"Mi"
"20090612",2009,2,6,"Jun 2009",12,"Ju"
"20090613",2009,2,6,"Jun 2009",13,"Vi"
"20090614",2009,2,6,"Jun 2009",14,"Sa"
"20090615",2009,2,6,"Jun 2009",15,"Do"
"20090616",2009,2,6,"Jun 2009",16,"Lu"
"20090617",2009,2,6,"Jun 2009",17,"Ma"
"20090618",2009,2,6,"Jun 2009",18,"Mi"
"20090619",2009,2,6,"Jun 2009",19,"Ju"
"20090620",2009,2,6,"Jun 2009",20,"Vi"
"20090621",2009,2,6,"Jun 2009",21,"Sa"
"20090622",2009,2,6,"Jun 2009",22,"Do"
"20090623",2009,2,6,"Jun 2009",23,"Lu"
"20090624",2009,2,6,"Jun 2009",24,"Ma"
"20090625",2009,2,6,"Jun 2009",25,"Mi"
"20090626",2009,2,6,"Jun 2009",26,"Ju"
"20090627",2009,2,6,"Jun 2009",27,"Vi"
"20090628",2009,2,6,"Jun 2009",28,"Sa"
"20090629",2009,2,6,"Jun 2009",29,"Do"
