"date_id","year","quarter","month","month_name","week_in_month","day_in_month","day_name"
20090101,2009,1,1,"Enero 2009",1,1,"Ju"
20090102,2009,1,1,"Enero 2009",1,2,"Vi"
20090103,2009,1,1,"Enero 2009",1,3,"Sa"
20090104,2009,1,1,"Enero 2009",2,4,"Do"
20090105,2009,1,1,"Enero 2009",2,5,"Lu"
20090106,2009,1,1,"Enero 2009",2,6,"Ma"
20090107,2009,1,1,"Enero 2009",2,7,"Mi"
20090108,2009,1,1,"Enero 2009",2,8,"Ju"
20090109,2009,1,1,"Enero 2009",2,9,"Vi"
20090110,2009,1,1,"Enero 2009",2,10,"Sa"
20090111,2009,1,1,"Enero 2009",3,11,"Do"
20090112,2009,1,1,"Enero 2009",3,12,"Lu"
20090113,2009,1,1,"Enero 2009",3,13,"Ma"
20090114,2009,1,1,"Enero 2009",3,14,"Mi"
20090115,2009,1,1,"Enero 2009",3,15,"Ju"
20090116,2009,1,1,"Enero 2009",3,16,"Vi"
20090117,2009,1,1,"Enero 2009",3,17,"Sa"
20090118,2009,1,1,"Enero 2009",4,18,"Do"
20090119,2009,1,1,"Enero 2009",4,19,"Lu"
20090120,2009,1,1,"Enero 2009",4,20,"Ma"
20090121,2009,1,1,"Enero 2009",4,21,"Mi"
20090122,2009,1,1,"Enero 2009",4,22,"Ju"
20090123,2009,1,1,"Enero 2009",4,23,"Vi"
20090124,2009,1,1,"Enero 2009",4,24,"Sa"
20090125,2009,1,1,"Enero 2009",5,25,"Do"
20090126,2009,1,1,"Enero 2009",5,26,"Lu"
20090127,2009,1,1,"Enero 2009",5,27,"Ma"
20090128,2009,1,1,"Enero 2009",5,28,"Mi"
20090129,2009,1,1,"Enero 2009",5,29,"Ju"
20090130,2009,1,1,"Enero 2009",5,30,"Vi"
20090131,2009,1,1,"Enero 2009",5,31,"Sa"
20090201,2009,1,2,"Febrero 2009",1,1,"Do"
20090202,2009,1,2,"Febrero 2009",1,2,"Lu"
20090203,2009,1,2,"Febrero 2009",1,3,"Ma"
20090204,2009,1,2,"Febrero 2009",1,4,"Mi"
20090205,2009,1,2,"Febrero 2009",1,5,"Ju"
20090206,2009,1,2,"Febrero 2009",1,6,"Vi"
20090207,2009,1,2,"Febrero 2009",1,7,"Sa"
20090208,2009,1,2,"Febrero 2009",2,8,"Do"
20090209,2009,1,2,"Febrero 2009",2,9,"Lu"
20090210,2009,1,2,"Febrero 2009",2,10,"Ma"
20090211,2009,1,2,"Febrero 2009",2,11,"Mi"
20090212,2009,1,2,"Febrero 2009",2,12,"Ju"
20090213,2009,1,2,"Febrero 2009",2,13,"Vi"
20090214,2009,1,2,"Febrero 2009",2,14,"Sa"
20090215,2009,1,2,"Febrero 2009",3,15,"Do"
20090216,2009,1,2,"Febrero 2009",3,16,"Lu"
20090217,2009,1,2,"Febrero 2009",3,17,"Ma"
20090218,2009,1,2,"Febrero 2009",3,18,"Mi"
20090219,2009,1,2,"Febrero 2009",3,19,"Ju"
20090220,2009,1,2,"Febrero 2009",3,20,"Vi"
20090221,2009,1,2,"Febrero 2009",3,21,"Sa"
20090222,2009,1,2,"Febrero 2009",4,22,"Do"
20090223,2009,1,2,"Febrero 2009",4,23,"Lu"
20090224,2009,1,2,"Febrero 2009",4,24,"Ma"
20090225,2009,1,2,"Febrero 2009",4,25,"Mi"
20090226,2009,1,2,"Febrero 2009",4,26,"Ju"
20090227,2009,1,2,"Febrero 2009",4,27,"Vi"
20090228,2009,1,2,"Febrero 2009",4,28,"Sa"
