"product_id","date_id","quantity","sale_peso","cost_peso"
"20070714","NFRONTANDES",370,209,2
"20070714","BMEDABRIGO",26,6.77,0
"20070714","NALIVPANTPOLAR",65,24,0
"20070714","NMAKTERMPANT",55,31.2,0
"20070714","NMAKCAMISINT",55,31.2,0
"20070714","NLIBOFORCE",140,77.88,0
"20070714","BMED1piel",18,4.6,0
"20070714","NMAKKHUMBU",225,126,0
"20070714","NALIVCUBREREF",65,23,1
"20070714","NMAKCAMISINT",55,31.2,0
"20070714","NMAKCLASSIC",450,252,0
"20070714","NMAKFRONTVEST",310,176,0
"20070714","NMAKARTIC",370,212,1
"20070714","NMAKCAMISINT",55,31.2,0
"20070714","NBUFF",60,40,1
"20070714","NMSRWHISP",411,293,1
"20070714","NMSRBOT1000",85,60,1
"20070714","NOUTGUANTW",75,42.5,0
"20070714","NMAKTERMPANT",55,31.2,0
"20070714","NALIVBUZO",70,25,0
"20070714","NMAKCAMISINT",55,31.2,0
"20070714","NUNDERANTEO",155,75,1
"20070716","NMAKCAMISINT",55,31.2,0
"20070716","NMAKPANTDESMH",140,76,0
"20070716","BMEDABRIGO",26,6.77,0
"20070716","NFRONTANDES",370,209,1
"20070716","BMED1piel",18,4.6,0
"20070716","NEURAUST",55,30,1
"20070716","BMAKCAMISINTLADY",55,37.75,0
"20070716","NALIVBUZO",70,25,0
"20070716","NMAKCAMISINT",55,31.2,0
"20070716","NALIVPANTPOLAR",65,24,0
"20070716","NEXPEDLADY",435,248,0
"20070717","NMAKGORRAWIN",55,30,0
"20070717","BORIX",185,127.7,1
"20070717","NMAKEXPEDJKT",500,284,0
"20070717","NMAKCAMISINT",55,31.2,0
"20070717","BMEDABRIGO",26,6.77,0
"20070717","NOUTGUANTW",75,42.5,0
"20070718","BMAKCAMISINTLADY",55,37.75,0
"20070718","BMAKCAMISINTLADY",55,37.75,0
"20070718","BFIG8",65,45.34,2
"20070718","NGUILLUMET",285,162,1
"20070718","BMEDABRIGO",26,6.77,0
"20070718","BMAKTOLJKT",610,423,0
"20070718","BALIBOT",30,17,1
"20070718","NMAKPAMIR70",520,292,1
"20070719","NALIVMOCH40",200,100,2
"20070719","NMAKTOLOSA",610,350,0
"20070719","BMEDZOQ",9,3,0
"20070719","NORIX",180,105,1
"20070719","NLIBOCLIMB",114,55,0
"20070719","NALIVBOLSILLO",25,11,1
"20070719","NALIVPANTPOLAR",65,24,0
"20070719","NMAKTERMPANT",55,31.2,0
"20070719","NMAKPANTDRY",350,198,0
"20070719","BMEDABRIGO",26,6.77,0
"20070719","NFRONTANDES",370,209,1
"20070719","BMED1piel",18,4.6,0
"20070720","NBUFF",55,40,1
"20070720","NMAKNEPAL",1170,668,0
"20070720","BGUILLUMET",285,197.65,1
"20070720","BMEDABRIGO",26,6.77,0
"20070720","NALIVPANTPOLLADY",65,24,0
"20070720","BBR455",8,4.8,2
"20070720","BMAKCAMISINTLADY",55,37.75,0
"20070720","NCEBESPOT4",360,210,0
"20070720","NALIVPANTPOLLADY",65,24,0
"20070720","NMAKCHALLADYPOL",75,42.4,0
"20070720","NMAKWINDCAMLADY",300,169.6,0
"20070720","NALIVERBOLPO",75,42,1
"20070720","NGUILLUMET",285,162,1
"20070720","NNALGENEBOTHID",42,30,1
"20070720","NALIVCUBMIT",100,39,1
"20070720","NMAKPANTDESLADY",130,71,0
"20070720","BMED1piel",18,4.6,0
"20070720","NMAKTERMPANT",55,31.2,0
"20070721","NALIVBUZO",65,25,0
"20070725","NLIBOFORCE",140,77.88,0
"20070725","NMAKCAMISINTLADY",55,31.2,0
"20070725","BMEDABRIGO",26,6.77,0
"20070725","NLIBOCAMPENDUR",640,373,0
"20071117","BMED1piel",20,4.6,0
"20071119","NALIVCHAL",80,29,0
"20071119","BMED1piel",20,4.6,0
"20071119","NALQUILER",1340,1,1
"20071119","NMAKCAMISINTLADY",60,31.2,0
"20071119","NMAKKHUMBU",240,132,0
"20071119","NLIBOCLIMB",129,73,0
"20071119","BMED1piel",1,4.6,0
"20071119","NMAKCAMISINT",62,34,0
"20071119","BMEDABRIGO",26,6.77,0
"20071119","NALIVCUBREREF",80,23,1
"20071119","BCAMPBAST",130,72,1
"20071119","NMAKNEPAL",1285,668,0
"20071119","NNALGACAN",135,79,1
"20071119","NMAKPAMIR70",520,292,1
"20071120","NMAKCAMISINT",62,34,0
"20071120","BMEDABRIGO",26,6.77,0
"20071120","NMAKTERMPANT",62,34.4,0
"20071120","BMED1piel",20,4.6,0
"20071120","NNMAKPOL",77,43.2,0
"20071120","NMAKEXPEDJKT",560,312,0
"20071120","NMAKTERMPANT",62,34.4,0
"20071120","NALIVBOLSILLO",25,11,1
"20071120","NMSRBOTGRIS",32,18.6,1
"20071120","NEURBOLS",10,5,1
"20071122","BJULBOSHERPA",155,78,1
"20071122","NFRONTANDES",370,215,1
"20071122","NMAKACONC",575,319,0
"20071122","BDOITECART",15,10,1
"20071123","BMEDZOQ",10,3,0
"20071123","BFUGATEARNES",180,117.37,2
"20071123","BCAMPHMS",60,40.65,1
"20071123","BUNDERANTEO",160,94,1
"20071123","NALIVPANTPOLAR",65,24,0
"20071123","NLIBOCLIMB",129,73,0
"20071123","NALQUILER",80,1,1
"20071123","NMSRBOTGRIS",32,18.6,2
"20071124","BCAMPGUAN",1,11.5,0
"20071124","BMED1piel",20,4.6,0
"20071124","BCAMPSTALK",455,330,2
"20071124","NMAKEXPEDJKT",560,312,0
"20070314","BMAKGORRO",13,8.7,0
"20070314","BMAKCAMISINT",50,33,0
"20070324","NALIVERBOLPO",42,42,10
"20070328","NALIVCUBRELIV",20,13.5,50
"20070430","BMEDZOQ",10,3,1
"20070503","BMEDZOQ",9,3,1
"20070503","BMEDZOQ",9,3,2
"20070507","NALIVERBOLPO",42,42,10
"20070510","BMEDZOQ",9,3,2
"20070512","BMEDZOQ",10,3,2
"20070531","BRECTADP6",140,125.3,1
"20070609","BMEDZOQ",10,3,2
"20070611","BBRMARM",75,36,1
"20070613","BBRGL10",85,53.41,1
"20070616","BMEDZOQ",9,3,1
"20070620","BMEDZOQ",10,3,1
"20070628","BFIG8",65,45.34,2
"20070628","BFADERSHMS",60,40,4
"20070628","BFADERSPETIT",50,35,5
"20070707","BMED1piel",18,4.6,0
"20070707","BMED1piel",18,4.6,0
"20070707","BMEDABRIGO",26,6.77,0
"20070710","BMEDABRIGO",26,6.77,0
"20070710","BMED1piel",18,4.6,0
"20070710","BANTEOJOS",45,25,1
"20070710","BMEDABRIGO",26,6.77,0
"20070710","BMED1piel",18,4.6,0
"20070711","BMEDABRIGO",20,6.77,0
"20070711","BMED1piel",13,4.6,0
"20070712","BMEDABRIGO",26,6.77,0
"20070712","BCRUX",620,417,1
"20070712","BMEDABRIGO",26,6.77,0
"20070712","BGUILLUMET",285,197.65,1
"20070713","NALIVCUBREREF",65,23,1
